problem_id,topic
198,Array
198,Dynamic Programming
199,Tree
199,Depth-First Search
199,Breadth-First Search
199,Binary Tree
200,Array
200,Depth-First Search
200,Breadth-First Search
200,Union-Find
200,Matrix
201,Bit Manipulation
202,Hash Table
202,Math
202,Two Pointers
203,Linked List
203,Recursion
204,Array
204,Math
204,Enumeration
204,Number Theory
205,Hash Table
205,String
206,Linked List
206,Recursion
207,Depth-First Search
207,Breadth-First Search
207,Graph Theory
207,Topological Sort
208,Hash Table
208,String
208,Design
208,Trie
209,Array
209,Binary Search
209,Sliding Window
209,Prefix Sum
210,Depth-First Search
210,Breadth-First Search
210,Graph Theory
210,Topological Sort
211,String
211,Depth-First Search
211,Design
211,Trie
212,Array
212,String
212,Backtracking
212,Trie
212,Matrix
213,Array
213,Dynamic Programming
214,String
214,Rolling Hash
214,String Matching
214,Hash Function
215,Array
215,Divide and Conquer
215,Sorting
215,Heap (Priority Queue)
215,Quickselect
216,Array
216,Backtracking
217,Array
217,Hash Table
217,Sorting
218,Array
218,Divide and Conquer
218,Binary Indexed Tree
218,Segment Tree
218,Sweep Line
218,Sorting
218,Heap (Priority Queue)
218,Ordered Set
219,Array
219,Hash Table
219,Sliding Window
220,Array
220,Sliding Window
220,Sorting
220,Bucket Sort
220,Ordered Set
221,Array
221,Dynamic Programming
221,Matrix
222,Binary Search
222,Bit Manipulation
222,Tree
222,Binary Tree
223,Math
223,Geometry
224,Math
224,String
224,Stack
224,Recursion
225,Stack
225,Design
225,Queue
226,Tree
226,Depth-First Search
226,Breadth-First Search
226,Binary Tree
227,Math
227,String
227,Stack
228,Array
229,Array
229,Hash Table
229,Sorting
229,Counting
230,Tree
230,Depth-First Search
230,Binary Search Tree
230,Binary Tree
231,Math
231,Bit Manipulation
231,Recursion
232,Stack
232,Design
232,Queue
233,Math
233,Dynamic Programming
233,Recursion
234,Linked List
234,Two Pointers
234,Stack
234,Recursion
235,Tree
235,Depth-First Search
235,Binary Search Tree
235,Binary Tree
236,Tree
236,Depth-First Search
236,Binary Tree
237,Linked List
238,Array
238,Prefix Sum
239,Array
239,Queue
239,Sliding Window
239,Heap (Priority Queue)
239,Monotonic Queue
240,Array
240,Binary Search
240,Divide and Conquer
240,Matrix
241,Math
241,String
241,Dynamic Programming
241,Recursion
241,Memoization
242,Hash Table
242,String
242,Sorting
243,Array
243,String
244,Array
244,Hash Table
244,Two Pointers
244,String
244,Design
245,Array
245,String
246,Hash Table
246,Two Pointers
246,String
247,Array
247,String
247,Recursion
248,Array
248,String
248,Recursion
249,Array
249,Hash Table
249,String
250,Tree
250,Depth-First Search
250,Binary Tree
251,Array
251,Two Pointers
251,Design
251,Iterator
252,Array
252,Sorting
253,Array
253,Two Pointers
253,Greedy
253,Sorting
253,Heap (Priority Queue)
253,Prefix Sum
254,Backtracking
255,Array
255,Stack
255,Tree
255,Binary Search Tree
255,Recursion
255,Monotonic Stack
255,Binary Tree
256,Array
256,Dynamic Programming
257,String
257,Backtracking
257,Tree
257,Depth-First Search
